what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428526058
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428583182
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264428585363
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428588980
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428597898
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428599146
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428605723
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428605854
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428607345
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264428609548
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264428609600
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428611371
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428698996
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264428699076
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264428699210
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264428699285
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428823323
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428836746
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428841646
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428854319
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428854856
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264428974906
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264428975807
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264429035182
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264429037012
