what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1265105289827
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265105290912
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265105292161
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265105294893
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105296154
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265105300455
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105300487
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265105306597
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265105312081
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265105323567
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105348128
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105348287
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265105351413
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265105352643
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265105356488
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265105356699
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265105375504
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105378068
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105383880
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105401716
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265105459837
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265105466354
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265105468884
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1265105487310
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265105488671
