what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264711843850
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264711858373
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264711879060
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264711884286
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264711885516
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264711886449
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264711896994
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264711899050
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264711917305
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264711933990
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264711941163
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264711945423
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264711946467
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264711946559
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264711955626
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264711964305
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264712103016
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264712141442
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264712142003
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264712142103
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264712152363
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264712187550
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264713120928
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264713122519
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264713125730
