what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358663084
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358665412
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358665580
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358667913
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358668080
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358670404
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358670539
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358672593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358672734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358674338
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358688387
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264358698413
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358703042
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358703187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264358722287
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358725068
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358725619
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358725680
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358729067
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264358747372
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264358749376
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358769324
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358769460
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358771921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264358772618
