what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1264281536759
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1264281536766
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1264281536770
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1264281536785
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1264281536785
os,sysinfo,,,"linux",1264281536788
arch,sysinfo,,,"x86",1264281536788
ws,sysinfo,,,"gtk",1264281536788
locale,sysinfo,,,"fr_FR",1264281536788
processors,sysinfo,,,"2",1264281536788
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264281536788
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1264281536788
java.specification.name,sysinfo,,,"Java Platform API Specification",1264281536788
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264281536788
java.specification.version,sysinfo,,,"1.6",1264281536788
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264281536788
java.version,sysinfo,,,"1.6.0_17",1264281536788
java.vm.info,sysinfo,,,"mixed mode",1264281536788
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264281536788
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264281536788
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264281536788
java.vm.specification.version,sysinfo,,,"1.0",1264281536788
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264281536788
java.vm.version,sysinfo,,,"14.3-b01",1264281536788
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264281538020
