what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264345851156
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264345875631
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264345878749
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1264345883224
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264345894705
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264345897294
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264345904197
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264345909939
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346004868
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346009073
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346011817
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346015216
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346016478
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264346020822
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264346035706
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346037976
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346045974
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346057584
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264346057723
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264346057957
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264346089608
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264346095435
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264346095551
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1264346097929
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264346100125
