what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264357888116
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357895140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357895280
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264357896596
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264357897477
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264357897724
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357902296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357902433
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264357902884
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357904629
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357905335
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357905404
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357908447
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264357909064
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264357924517
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264357931496
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357936465
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357937807
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357937868
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357939192
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264357969533
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264357969927
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264357970126
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264357973640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264357975315
