what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1265104430325
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104431835
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104440408
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265104443767
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265104448199
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265104448715
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104451593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104481441
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104500820
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104501012
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104505418
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104505530
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1265104514233
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265104517715
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104532442
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104532777
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104534171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104534375
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265104539387
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265104539637
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104560792
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265104592312
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1265104594021
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265104594027
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265104594280
