what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264426298331
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264426298492
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426320570
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426339095
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264426342486
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1264426399600
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426400890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426589999
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426591479
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426597627
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264426605681
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426608209
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426717777
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426726660
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426728671
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264426730165
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264426734473
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426736635
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426910458
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264426916708
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427128195
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264427128843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428492682
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428494797
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264428519897
